headline,date_published,summary,youtube_link
Python Threading Tutorial: Run Code Concurrently Using the Threading Module,12-Sep-19,"In this Python Programming video, we will be learning how to run threads concurrently using the threading module. We will also look at how to download multiple high-resolution images online using a ThreadPoolExecutor from the concurrent.futures module. Let’s get started…",https://www.youtube.com/watch?v=IEEhzQoKtQU
,,,
Update (2019-09-03),3-Sep-19,"Hey everyone. I wanted to give you an update on my videos. I will be releasing videos on threading and multiprocessing within the next week. Thanks so much for your patience. I currently have a temporary recording studio setup at my Airbnb that will allow me to record and edit the threading/multiprocessing videos. I am going to be moving into my new house in 10 days and once I have my recording studio setup then you can expect much faster video releases. I really appreciate how patient everyone has been while I go through this move, especially those of you who are contributing monthly through YouTube",
,,,
Python Quick Tip: The Difference Between “==” and “is” (Equality vs Identity),6-Aug-19,"In this Python Programming Tutorial, we will be learning the difference between using “==” and the “is” keyword when doing comparisons. The difference between these is that “==” checks to see if values are equal, and the “is” keyword checks their identity, which means it’s going to check if the values are identical in terms of being the same object in memory. We’ll learn more in the video. Let’s get started…",https://www.youtube.com/watch?v=mO_dS3rXDIs
,,,
Python Tutorial: Calling External Commands Using the Subprocess Module,24-Jul-19,"In this Python Programming Tutorial, we will be learning how to run external commands using the subprocess module from the standard library. We will learn how to run commands, capture the output, handle errors, and also how to pipe output into other commands. Let’s get started…",https://www.youtube.com/watch?v=2Fp1N6dof0Y
,,,
Visual Studio Code (Windows) – Setting up a Python Development Environment and Complete Overview,1-May-19,"In this Python Programming Tutorial, we will be learning how to set up a Python development environment in VSCode on Windows. VSCode is a very nice free editor for writing Python applications and many developers are now switching over to this editor. In this video, we will learn how to install VSCode, get the Python extension installed, how to change Python interpreters, create virtual environments, format/lint our code, how to use Git within VSCode, how to debug our programs, how unit testing works, and more. We have a lot to cover, so let’s go ahead and get started…",https://www.youtube.com/watch?v=-nh9rCzPJ20
,,,
Visual Studio Code (Mac) – Setting up a Python Development Environment and Complete Overview,1-May-19,"In this Python Programming Tutorial, we will be learning how to set up a Python development environment in VSCode on MacOS. VSCode is a very nice free editor for writing Python applications and many developers are now switching over to this editor. In this video, we will learn how to install VSCode, get the Python extension installed, how to change Python interpreters, create virtual environments, format/lint our code, how to use Git within VSCode, how to debug our programs, how unit testing works, and more. We have a lot to cover, so let’s go ahead and get started…",https://www.youtube.com/watch?v=06I63_p-2A4
,,,
Clarifying the Issues with Mutable Default Arguments,24-Apr-19,"In this Python Programming Tutorial, we will be clarifying the issues with mutable default arguments. We discussed this in my last video titled “5 Common Python Mistakes and How to Fix Them”, but I received many comments from people who were still confused. So we will be doing a deeper dive to explain exactly what is going on here. Let’s get started…",https://www.youtube.com/watch?v=_JGmemuINww
,,,
5 Common Python Mistakes and How to Fix Them,22-Apr-19,"In this Python Programming Tutorial, we will be going over some of the most common mistakes. I get a lot of questions from people every day, and I have seen a lot of people making these same mistakes in their code. So we will investigate each of these common mistakes and also look at the fixes for each other these as well. Here are the timestamps for each topic we will cover… 1) Indentation and Spaces – 0:45 2) Naming Conflicts – 4:12 3) Mutable Default Args – 10:05 4) Exhausting Iterators – 16:35 5) Importing with * – 22:13",https://www.youtube.com/watch?v=zdJEYhA2AZQ
,,,
How I Setup a New Development Machine – Using Scripts to Automate Installs and Save Time,15-Apr-19,"In this video, I’ll be showing how I set up a new development machine. I recently got a new MacBook and wanted to show how I use scripts to automate a lot of this process. It used to take me a lot of time to install all of my software and get everything set up the way I like it. Now I use these automated scripts to do this in minutes. Let’s get started…",https://www.youtube.com/watch?v=kIdiWut8eD8
,,,
How to Write Python Scripts to Analyze JSON APIs and Sort Results,9-Apr-19,"In this Python Programming Tutorial, we will be learning how to grab data from a JSON API, parse out the information we want, and then sort the data using a custom key. The API we will be using is a JSON API for Homebrew Packages and we will be sorting the packages by their popularity. We cover a lot of topics in this tutorial. We will be using the Requests Library, converting to/from JSON, reading and writing to files, writing our own sorting function, and more. Let’s get started…",https://www.youtube.com/watch?v=1lxrb_ezP-g
,,,
Homebrew Tutorial: Simplify Software Installation on Mac Using This Package Manager,9-Apr-19,"In this video, we’ll be learning how to use the Homebrew Package Manager on MacOS. Brew allows us to easily install command-line tools with a simple command. We can also install native applications for Mac using Brew Cask. I often use these commands in scripts to install a lot of new software quickly and easily on new machines. Let’s get started…",https://www.youtube.com/watch?v=SELYgZvAZbU
,,,
Python Tutorial: VENV (Windows) – How to Use Virtual Environments with the Built-In venv Module,6-Apr-19,"In this Python Programming Tutorial, we will be learning how to use virtual environments on the Windows operating systems with the built-in venv module. We will learn how to create them, activate them, remove them, and much more. Let’s get started…",https://www.youtube.com/watch?v=APOPm01BVrk
,,,
Python Tutorial: VENV (Mac & Linux) – How to Use Virtual Environments with the Built-In venv Module,6-Apr-19,"In this Python Programming Tutorial, we will be learning how to use virtual environments on the Mac and Linux operating systems with the built-in venv module. We will learn how to create them, activate them, remove them, and much more. Let’s get started…",https://www.youtube.com/watch?v=Kg1Yvry_Ydk
,,,
10 Python Tips and Tricks For Writing Better Code,25-Mar-19,"In this Python Programming video, we will be going over 10 tips and tricks for writing Pythonic code. Here are the timestamps for each topic we will cover… 1) Ternary Conditionals – 0:34 2) Underscore Placeholders – 2:13 3) Context Managers – 4:25 4) Enumerate – 6:50 5) Zip – 8:52 6) Unpacking – 13:02 7) Setattr/Getattr – 19:08 8) GetPass – 26:24 9) Python dash m – 29:18 10) Help/Dir – 33:17",https://www.youtube.com/watch?v=C-gEQdGVXbk
,,,
"How to Send Emails Using Python – Plain Text, Adding Attachments, HTML Emails, and More",18-Mar-19,"In this Python Programming Tutorial, we will be learning how to send emails. We’ll start with simple plain text emails and then learn how to construct more advanced messages. We will learn how to attach images, PDFs, create HTML messages, and more. Let’s get started…",https://www.youtube.com/watch?v=JRCJ6RtE3xU
,,,
Python Tutorial: Web Scraping with Requests-HTML,11-Mar-19,"In this Python Programming Tutorial, we will be learning how to scrape websites using the Requests-HTML library. Requests-HTML is an excellent tool for parsing HTML code and grabbing exactly the information you need. So whether you’re pulling down headlines from news sites, scores from sports websites, or prices from an online store… Requests-HTML and Python will help you get this done quickly and easily. Let’s get started…",https://www.youtube.com/watch?v=a6fIbtFB46g
,,,
"Python Tutorial: Write a Script to Monitor a Website, Send Alert Emails, and Reboot Servers",4-Mar-19,"In this Python Programming Tutorial, we’re going to be looking at a real-world example of writing a script to monitor a website. If the website doesn’t return a successful response for any reason then we will send an email and reboot the web server. Let’s get started…",https://www.youtube.com/watch?v=yqm6MBt-yfY
,,,
"Python Requests Tutorial: Request Web Pages, Download Images, POST Data, Read JSON, and More",26-Feb-19,"In this Python Programming Tutorial, we will be learning how to use the Requests library. The Requests library allows us to send HTTP requests and interact with web pages. We will be learning how to grab the source code of a site, download images, POST form data to routes, read JSON responses, perform authentication, and more. Let’s get started…",https://www.youtube.com/watch?v=tb8gHvYlCFs
,,,
Python Django Tutorial: Deploying Your Application (Option #2) – Deploy using Heroku,19-Feb-19,"In this Python Django Tutorial, we will be learning how to deploy our application to Heroku. Heroku is a platform that abstracts away a lot of the low-level system administration and allows us to easily deploy, update, and rollback changes for our application. Let’s get started…",https://www.youtube.com/watch?v=6DI_7Zja8Zc
,,,
Python Django Tutorial: Full-Featured Web App Part 13 – Using AWS S3 for File Uploads,18-Feb-19,"In this Python Django Tutorial, we will be learning how to set up AWS S3 so that we can host our media files from that service instead of our local filesystem. AWS S3 is very affordable and will also allow our application to scale much more than if our files lived on our local filesystem. Let’s get started…",https://www.youtube.com/watch?v=kt3ZtW9MXhw
,,,
Python Django Tutorial: How to enable HTTPS with a free SSL/TLS Certificate using Let’s Encrypt,29-Jan-19,"In this Python Django Tutorial, we will be learning how to enable HTTPS on our web server with a free SSL/TLS certificate using a service called “Let’s Encrypt”. Let’s Encrypt is a Certificate Authority that lets anyone obtain, renew, and manage certificates for their site. They’re a non-profit and provide all of this for free, and it’s easy to get running on our server, so let’s go ahead and get started…",https://www.youtube.com/watch?v=NhidVhNHfeU
,,,
Python Flask Tutorial: How to enable HTTPS with a free SSL/TLS Certificate using Let’s Encrypt,29-Jan-19,"In this Python Flask Tutorial, we will be learning how to enable HTTPS on our web server with a free SSL/TLS certificate using a service called “Let’s Encrypt”. Let’s Encrypt is a Certificate Authority that lets anyone obtain, renew, and manage certificates for their site. They’re a non-profit and provide all of this for free, and it’s easy to get running on our server, so let’s go ahead and get started…",https://www.youtube.com/watch?v=Gdys9qPjuKs
,,,
Python Django Tutorial: How to Use Custom Domain Name For Our Application,17-Jan-19,"In this Python Django Tutorial, we will be learning how to set up a custom domain name for our application. We will use NameCheap as our domain registrar and Linode to host our server. Let’s get started…",https://www.youtube.com/watch?v=D2lwk1Ukgz0
,,,
Python Flask Tutorial: How to Use Custom Domain Name For Our Application,17-Jan-19,"In this Python Flask Tutorial, we will be learning how to set up a custom domain name for our application. We will use NameCheap as our domain registrar and Linode to host our server. Let’s get started…",https://www.youtube.com/watch?v=LUFn-QVcmB8
,,,
Python Flask Tutorial: Deploying Your Application (Option #1) – Deploy to a Linux Server,20-Dec-18,"In this Python Flask Tutorial, we will be learning how to deploy our application to a Linux Server from scratch using Linode. We will be covering the entire deployment of a Flask application. This includes spinning up a new Linux Server and tightening its security with SSH keys and firewalls. Then we will install Nginx and Gunicorn so that we can get our Flask App running. Let’s get started…",https://www.youtube.com/watch?v=goToXTC96Co
,,,
Python Django Tutorial: Deploying Your Application (Option #1) – Deploy to a Linux Server,20-Dec-18,"In this Python Django Tutorial, we will be learning how to deploy our application to a Linux Server from scratch using Linode. We will be covering the entire deployment of a Django application. This includes spinning up a new Linux Server and tightening its security with SSH keys and firewalls. Then we will install Apache and Mod_WSGI so that we can get our Django App running. Let’s get started…",https://www.youtube.com/watch?v=Sa_kQheCnds
,,,
Python Tutorial: Itertools Module – Iterator Functions for Efficient Looping,16-Nov-18,"In this Python Programming Tutorial, we will be learning about the itertools module. The itertools module is a collection of functions that allows us to work with iterators in an efficient way. Depending on your problem, this can save you a lot of memory and also a lot of work. Let’s get started…",https://www.youtube.com/watch?v=Qu3dThVy6KQ
,,,
Python Coding Problem: Creating Your Own Iterators,24-Oct-18,"In this Python Coding Problem, we will be creating our own iterators from scratch. First, we will create an iterator using a class. Then we will create an iterator with the same functionality using a generator. If you haven’t watched the tutorial video on Iterators and Iterables then I would suggest watching that first. With that said, let’s get started…",https://www.youtube.com/watch?v=C3Z9lJXI6Qw
,,,
Python Tutorial: Iterators and Iterables – What Are They and How Do They Work?,24-Oct-18,"In this Python Programming Tutorial, we will be learning about iterators and iterables. There is a lot of confusion around these terms and exactly what they mean. We’re also going to learn how to make an object ourselves that is both an iterable and an iterator. This video isn’t only about understanding these definitions. It’s also about understanding the concepts of iterators so that you can write better code. Understanding these underlying concepts is going to help you write code that is more efficient and will also help you see solutions to certain problems in a way you might not have thought of before. So with that said, let’s get started…",https://www.youtube.com/watch?v=jTYiNjvnHZY
,,,
Python Tutorial: Pipenv – Easily Manage Packages and Virtual Environments,17-Oct-18,"In this Python Programming Tutorial, we will be learning how to use Pipenv. Pipenv is a new package manager that combines pip and virtualenv into one easy-to-use tool. We will learn how to install pipenv, how to install new packages, how to manage our newly created environment for our project, and also look at some more advanced use cases. Let’s get started…",https://www.youtube.com/watch?v=zDYL22QNiWk
,,,
Python Django Tutorials – Full Series,4-Oct-18,"In this Python Django Tutorial, we will be learning how to get started using the Django framework. We will install the necessary packages and get a basic application running in our browser.",https://www.youtube.com/watch?v=UmljXZIypDc
,,,
Best Sublime Text Features and Shortcuts,9-Aug-18,"In this video, we will be learning about my favorite Sublime Text features and shortcuts for Windows. Knowing your way around your text editor will help you get things done much faster and be more productive. The features in this video have saved me a ton of time over the years. I have two different versions of this video depending on your operating system…",https://www.youtube.com/watch?v=9FPFogHkgOc
,,,
Python Tutorial: How to Set the Path and Switch Between Different Versions/Executables,9-Aug-18,"In this Python Programming Tutorial, we will be learning how to set the PATH environment variable. We will also learn how to modify the PATH in order to switch between different Python versions and executables. This is an essential skill that trips up many people when they first start learning Python and will definitely help you in many real-world situations. I have two different versions of this video depending on your operating system…",https://www.youtube.com/watch?v=OdIHeg4jj2c
,,,
Python Quick Tip: F-Strings – How to Use Them and Advanced String Formatting,12-Jul-18,"In this Python Programming Tutorial, we will be learning how to use f-strings to format strings. F-strings are new to Python3.6+ and are extremely useful once you learn how to use them. Viewers have likely seen me use f-strings in previous videos so this video will go into detail exactly how to use them so that everyone can follow along confidently. Let’s get started…",https://www.youtube.com/watch?v=nghuHvKLhJA
,,,
"Big Announcements, Video Updates, and Future Plans",26-Jun-18,"For those of you who don’t know, I recently quit my previous job and will now be doing tutorials on YouTube full-time. In this video, we discuss what to expect now that this is a full-time job, and also some details about how all this will work. Thanks again to all of you who made it possible to do what I love full-time.",https://www.youtube.com/watch?v=OPUP4ghN9oo
,,,
Python Tutorial: Sets – Set Methods and Operations to Solve Common Problems,20-Jun-18,"In this Python Programming Tutorial, we will be looking at the Set data structure in-depth and discovering how it can help us solve some common problems. The set can not only solve certain problems more quickly but is also more efficient in many cases.",https://www.youtube.com/watch?v=r3R3h5ly_8g
,,,
Python Flask Tutorials – Full Series,20-Jun-18,"In this Python Flask Tutorial, we will be learning how to get started using the Flask framework. We will install the necessary packages and get a basic Hello World Application running in our browser.",https://www.youtube.com/watch?v=MwZwr5Tvyxo
,,,
Linux/Mac Terminal Tutorial: The Grep Command – Search Files and Directories for Patterns of Text,29-Mar-18,"In this Linux/Mac terminal tutorial, we will be learning how to use the grep command. The grep command allows us to search files and directories for patterns of text. You can also pipe the output of one command into grep to get certain matches. It’s extremely useful once you learn the ins and outs. Let’s get started…",https://www.youtube.com/watch?v=VGgTmxXp7xQ
,,,
How to Run Linux/Bash on Windows 10 Using the Built-In Windows Subsystem for Linux,29-Mar-18,"In this video, we will be learning how to run Linux on Windows using the new Windows Subsystem for Linux that comes with Windows 10. This is an excellent way to run Bash on a Windows machine. It allows you to use all of the Bash commands we are used to using on Linux within a Windows system. We will be showing how to enable and install Linux on Windows and also go over a quick overview to see how this works. Let’s get started…",https://www.youtube.com/watch?v=xzgwDbe7foQ
,,,
Python Quick Tip: Hiding Passwords and Secret Keys in Environment Variables (Windows),29-Mar-18,"In this Python Programming Tutorial, we will be learning how to hide passwords and secret information within environment variables on Windows machines. Hard-coding secret information is a common mistake that beginners make when learning Python. Hiding this information within environment variables allows you to access your secret information within your code without anyone else being able to see these values from your source code. Let’s get started…",https://www.youtube.com/watch?v=IolxqkL7cD8
,,,
Python Quick Tip: Hiding Passwords and Secret Keys in Environment Variables (Mac & Linux),29-Mar-18,"In this Python Programming Tutorial, we will be learning how to hide passwords and secret information within environment variables on Mac and Linux machines. Hard-coding secret information is a common mistake that beginners make when learning Python. Hiding this information within environment variables allows you to access your secret information within your code without anyone else being able to see these values from your source code. Let’s get started…",https://www.youtube.com/watch?v=5iWhQWVXosU
,,,
"Python Tutorial: Calculate Number of Days, Weeks, or Months to Reach Specific Goals",29-Mar-18,"In this Python Programming Tutorial, we will be writing three different scripts to estimate how long it will take to reach certain goals. Our first script will calculate how many months it will take us to pay off a credit card. Our second script will calculate how many weeks it will take to lose a certain amount of weight. And our third script will estimate how long it will take to reach a certain number of subscribers. Let’s get started…",https://www.youtube.com/watch?v=k8asfUbWbI4
,,,
Python Tutorial: Context Managers – Efficiently Managing Resources,22-Dec-17,"In this Python Programming Tutorial, we will be learning how to use context managers to properly manage resources. Context Managers are great for when we need to setup or teardown some resources during use. So these can be used for: open and closing files, opening and closing database connections, acquiring and releasing locks, and much much more. Let’s get started…",https://www.youtube.com/watch?v=-aKFBoZpiqA
,,,
Channel Update: Look Back on the Year and Big Plans for 2018,18-Dec-17,"In this Channel Update, we will be looking back on 2017 and what we’ve done this year. We will also be looking forward to 2018 and discussing the future plans for this channel. This year was the best year for this channel yet and I can’t thank you all enough. I have plenty planned for the future and I look forward to putting out great tutorials next year!",https://www.youtube.com/watch?v=CtgkEaeOkew
,,,
Python Tutorial: Working with JSON Data using the json Module,6-Dec-17,"In this Python Programming Tutorial, we will be learning how to work with JSON data. We will learn how to load JSON into Python objects from strings and how to convert Python objects into JSON strings. We will also see how to load JSON from a file and save those Python objects back to files. Let’s get started…",https://www.youtube.com/watch?v=9N6a-VLBa2I
,,,
Python Tutorial: Web Scraping with BeautifulSoup and Requests,8-Nov-17,"In this Python Programming Tutorial, we will be learning how to scrape websites using the BeautifulSoup library. BeautifulSoup is an excellent tool for parsing HTML code and grabbing exactly the information you need. So whether you’re pulling down headlines from news sites, scores from sports websites, or prices from an online store… BeautifulSoup and Python will help you get this done quickly and easily. Let’s get started…",https://www.youtube.com/watch?v=ng2o98k983k
,,,
Python Tutorial: re Module – How to Write and Match Regular Expressions (Regex),24-Oct-17,"In this Python Programming Tutorial, we will be learning how to read, write, and match regular expressions with the re module. Regular expressions are extremely useful for matching common patterns of text such as email addresses, phone numbers, URLs, etc. Learning how to do this within Python will allow us to quickly parse files and text for the information we need. Let’s get started…",https://www.youtube.com/watch?v=K8L6KVGG-7o
,,,
Linux/Mac Terminal Tutorial: How To Use The rsync Command – Sync Files Locally and Remotely,10-Oct-17,"In this Linux/Mac terminal tutorial, we will be learning how to use the rsync command. The rsync command will allow you to sync file and directories on your local machine or even over a network between servers. This is a great tool for running backups, for only copying diffs, or even for deploying segments of code. Let’s get started…",https://www.youtube.com/watch?v=qE77MbDnljA
,,,
Regular Expressions (Regex) Tutorial: How to Match Any Pattern of Text,10-Oct-17,"In this regular expressions (regex) tutorial, we’re going to be learning how to match patterns of text. Regular expressions are extremely useful for matching common patterns of text such as email addresses, phone numbers, URLs, etc. Almost every programming language has a regular expression library, so learning regular expressions with not only help you with finding patterns in your text editors, but also you’ll be able to use these programming libraries to search for patterns programmatically as well. Let’s get started…",https://www.youtube.com/watch?v=sa-TUpSx1JA
,,,
5 Essential Skills Every Well-Rounded Programmer Should Know,19-Sep-17,"In this video, we will be looking at 5 skills that you can learn on top of your main programming language to make you a well-rounded programmer. These skills will make you more marketable when looking for a job, and can sometimes be the deciding factor when choosing between candidates.",https://www.youtube.com/watch?v=TtIJEQ6D9DE
,,,
"Python Tutorial: How I Manage Multiple Projects, Virtual Environments, and Environment Variables",6-Sep-17,"In this Python Programming Tutorial, I will be showing how I personally manage multiple projects, virtual environments, and environment variables. If you have ever worked on multiple projects, you probably know that it can be a hassle to keep all of your dependencies and project information separate. The strategy I have adopted over the years allows me to easily separate out my environments in such a way that they can be easily exported, activated, and also automatically activate the correct environment variables. Let’s get started…",https://www.youtube.com/watch?v=cY2NXB_Tqq0
,,,
Python Tutorial: Generate Random Numbers and Data Using the random Module,6-Sep-17,"In this Python Programming Tutorial, we will be learning how to generate random numbers and choose random data from lists using the random module. I personally use the random module pretty often in my tutorials to generate random data. This can also be used be games, simulations, and plenty of other useful tasks. Let’s get started…",https://www.youtube.com/watch?v=KzqSDvzOFNA
,,,
Linux/Mac Tutorial: Cron Jobs – How to Schedule Commands with crontab,23-Aug-17,"In this Linux/Mac terminal tutorial, we will be learning about cron jobs and how to schedule commands with crontab. The will allow you to run commands on a repetitive schedule. So if you want to run a job daily, weekly, or at a certain time of day, this video will show you how you can get this set up. This helps a ton with system administration type of tasks and can automate a lot of work. Let’s get started.",https://www.youtube.com/watch?v=QZJ1drMQz1A
,,,
Python Tutorial: Unit Testing Your Code with the unittest Module,16-Aug-17,"In this Python Programming Tutorial, we will be learning how to unit-test our code using the unittest module. Unit testing will allow you to be more comfortable with refactoring and knowing whether or not your updates broke any of your existing code. Unit testing is a must on any large projects and is used by all major companies. Not only that, but it will greatly improve your personal code as well. Let’s get started.",https://www.youtube.com/watch?v=6tNS--WetLI
,,,
"Python Tutorial: CSV Module – How to Read, Parse, and Write CSV Files",9-Aug-17,"In this Python Programming Tutorial, we will be learning how to work with csv files using the csv module. We will learn how to read, parse, and write to csv files. CSV stands for “Comma-Separated Values”. It is a common format for storing information. Knowing how to read, parse, and write this information to files will open the door to working with a lot of data throughout the world. Let’s get started.",https://www.youtube.com/watch?v=q5uM4VKywbA
,,,
Linux/Mac Tutorial: SSH Key-Based Authentication – How to SSH Without a Password,9-Aug-17,"In this Linux/Mac terminal tutorial, we will be learning how to configure ssh keys so that we can login to our servers without a password. Not only is this more convenient, but it is also more secure. This also allows us to write automated scripts to talk to our servers without the need of putting in passwords constantly. Let’s get started.",https://www.youtube.com/watch?v=vpk_1gldOAE
,,,
Python Tutorial: Real World Example – Parsing Names From a CSV to an HTML List,26-Jul-17,"In this Python Programming Tutorial, we’ll be learning how to parse a CSV file and output the data to an HTML unordered list. This is a real world problem I ran into with my website. The list was becoming too large for me to maintain manually, so writing a Python script to automate this process saved me a lot of time in the future. Let’s get started.",https://www.youtube.com/watch?v=bkpLhQd6YQM
,,,
How to Create a Network of Machines in VirtualBox with SSH Access,20-Jul-17,"In this video, we’ll be learning how to clone Virtual Machines, add these machines to a network so they can communicate with each other, make sure they have internet access, and also set up SSH so that we are able to SSH into these machines from our host machine. This will allow us to pretty much build an entire virtual lab that we can use to test all kinds of different software. So after we’re done, this will give us the ability to quickly spin up a new VM that behaves just like a real machine on our network. Let’s get started.",https://www.youtube.com/watch?v=S7jD6nnYJy0
,,,
VirtualBox: How to Use Snapshots,12-Jul-17,"In this video, we will be learning how to use snapshots within VirtualBox. Snapshots are great for saving a machine state and being able to revert back to a previous time. Let’s get started.",https://www.youtube.com/watch?v=Qte4X-rdr2Q
,,,
Python Beginner Tutorials – Complete Series,18-May-17,"Welcome to a nine-part series on Python Programming for Beginners. We’ll go over the installation/setup, data types, conditionals, loops, functions, how to import modules and explore the standard library. You can find each individual video down below, or view the entire playlist here",https://www.youtube.com/watch?v=YYXdXT2l-Gg
,,,
"Python SQLite Tutorial: Complete Overview – Creating a Database, Table, and Running Queries",19-Apr-17,"In this Python SQLite tutorial, we will be going over a complete introduction to the sqlite3 built-in module within Python. SQLite allows us to quickly get up and running with databases, without spinning up larger databases like MySQL or Postgres. We will be creating a database, creating a table, insert, select, update, and delete data. Let’s get started…",https://www.youtube.com/watch?v=pd-0G0MigUA
,,,
"Channel Update: Code Snippets, New Rewards, and Playlists",17-Apr-17,"In this Channel Update, we will be discussing new rewards for the supporters of the channel. We will also be discussing code snippets being posted to GitHub and playlists being arranged properly.",https://www.youtube.com/watch?v=4qMJN1pY_aw
,,,
Python Tutorial: Decorators With Arguments,27-Mar-17,"In this Python tutorial, we will be learning how to create decorators with parameters that accept arguments. This was a highly requested video in response to my original decorator tutorial video. Accepting arguments allows us to add even more functionality to our decorators. You will see this throughout many frameworks and libraries, so it’s a good skill to know. Let’s get started…",https://www.youtube.com/watch?v=KlBPCzcQNU8
,,,
Python Tutorial: Anaconda – Installation and Using Conda,24-Mar-17,"In this Python Tutorial, we will be learning how to install Anaconda by Continuum Analytics. Anaconda is a data science platform that comes with a lot of useful features right out of the box. Many people find that installing Python through Anaconda is much easier than doing so manually. Also, we will look at Conda. Conda is Continuum’s package, dependency and environment manager. Let’s get started…",https://www.youtube.com/watch?v=YJC6ldI3hWk
,,,
